gbd_cause_id_3_ml,gbd_indication_name_3,canonical_model_ta,canonical_model_ta_code,sort_order,observed_rows_total,observed_tas,observed_rows_by_ta
438,Prostate cancer,Oncology,ONCOLOGY,126,455,ONCOLOGY,"{""ONCOLOGY"": 455}"
468,Testicular cancer,Oncology,ONCOLOGY,127,2,ONCOLOGY,"{""ONCOLOGY"": 2}"
471,Kidney cancer,Oncology,ONCOLOGY,128,129,ONCOLOGY|RENAL/UROLOGY,"{""ONCOLOGY"": 127, ""RENAL/UROLOGY"": 2}"
474,Bladder cancer,Oncology,ONCOLOGY,129,196,ONCOLOGY|RENAL/UROLOGY,"{""ONCOLOGY"": 190, ""RENAL/UROLOGY"": 6}"
477,Brain and central nervous system cancer,Oncology,ONCOLOGY,130,208,NEUROLOGY|ONCOLOGY,"{""NEUROLOGY"": 4, ""ONCOLOGY"": 204}"
1008,Eye cancer,Oncology,ONCOLOGY,131,33,ONCOLOGY|OPHTHALMOLOGY,"{""ONCOLOGY"": 6, ""OPHTHALMOLOGY"": 27}"
1013,Neuroblastoma and other peripheral nervous cell tumors,Oncology,ONCOLOGY,134,15,ONCOLOGY,"{""ONCOLOGY"": 15}"
480,Thyroid cancer,Oncology,ONCOLOGY,135,29,ONCOLOGY,"{""ONCOLOGY"": 29}"
483,Mesothelioma,Oncology,ONCOLOGY,136,25,ONCOLOGY,"{""ONCOLOGY"": 25}"
484,Hodgkin lymphoma,Oncology,ONCOLOGY,137,42,ONCOLOGY,"{""ONCOLOGY"": 42}"
485,Non-Hodgkin lymphoma,Oncology,ONCOLOGY,138,619,HEMATOLOGY|ONCOLOGY,"{""HEMATOLOGY"": 4, ""ONCOLOGY"": 615}"
486,Multiple myeloma,Oncology,ONCOLOGY,141,327,HEMATOLOGY|ONCOLOGY,"{""HEMATOLOGY"": 60, ""ONCOLOGY"": 267}"
487,Leukemia,Oncology,ONCOLOGY,142,535,HEMATOLOGY|ONCOLOGY,"{""HEMATOLOGY"": 86, ""ONCOLOGY"": 449}"
